front,source,query,id,doi,year,title,first_author
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2608.10131,,2026,P3CA: Encoder-Agnostic Interpretation of Vision Foundation Model Embeddings via Spatial Probing,A. Jamzad
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2606.28465,10.48550/arXiv.2606.28465,2026,SVC-Probe: A Framework for Evaluating Perturbation Generalization in Spatial Foundation-Model Embeddings,J. Chen
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2605.08113,10.48550/arXiv.2605.08113,2026,Do Foundation Model Embeddings Improve Cross-Country Crop Yield Generalisation? A Leave-One-Country-Out Evaluation in Sub-Saharan Africa,Yaw Osei Adjei
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2509.06966,10.48550/arXiv.2509.06966,2025,Cross-device Zero-shot Label Transfer via Alignment of Time Series Foundation Model Embeddings,N. Ravindra
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,288130917,10.3390/earth7030076,2026,Impact of Impervious Surface Expansion on Urban Thermal Environment Across Tropical Southeast Asian Megacities: Reliable Assessment Through Foundation Model Embeddings,Sitthisak Moukomla
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2608.26088,,2026,Planetary Prediction Engine: Autonomous Geospatial Prediction via Intelligent Data Selection and Foundation Model Embeddings,E. Ma
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2506.11167,10.48550/arXiv.2506.11167,2025,Towards a general-purpose foundation model for fMRI analysis,Cheng Wang
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,290217118,10.64898/2026.07.13.738250,2026,Frozen Protein Foundation-Model Embeddings Improve Antibody–Antigen Binding Affinity Prediction,Roger Wang
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2605.01650,10.48550/arXiv.2605.01650,2026,Geospatial foundation-model embeddings improve population estimation unevenly across space and scale,Wenbin Zhang
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,288470556,10.1109/ISBI61048.2026.11515340,2026,Multimodal MRI and 18F-FPIA PET for Non-Invasive IDH Mutation Prediction Using MRI-Foundation Model Embeddings,M. Inglese
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,288550750,10.1117/12.3112513,2026,Foundation model embeddings for cropland extraction in fragmented mountainous landscapes: robustness and data efficiency,Ting Wu
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,286753350,10.64898/2026.03.17.711896,2026,Translating Histopathology Foundation Model Embeddings into Cellular and Molecular Features for Clinical Studies,Saishi Cui
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2607.16050,,2026,DELUGE: Towards Continental-Scale Daily Pluvial Flood Damage Prediction via Interpretable Conditioning on Foundation Model Embeddings,Yuya Kawakami
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2506.06281,10.48550/arXiv.2506.06281,2025,TerraFM: A Scalable Foundation Model for Unified Multisensor Earth Observation,M. S. Danish
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2503.23844,10.1109/TGRS.2026.3656362,2025,FlexiMo: A Flexible Remote Sensing Foundation Model,Xuyang Li
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2408.15251,10.48550/arXiv.2408.15251,2024,TrajFM: A Vehicle Trajectory Foundation Model for Region and Task Transferability,Yan Lin
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2411.03960,10.1109/CVPRW67362.2025.00555,2024,Face Reconstruction from Face Embeddings Using Adapter to a Face Foundation Model,Hatef Otroshi Shahreza
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,272721959,10.1109/CVPR52733.2024.02616,2024,S2MAE: A Spatial-Spectral Pretraining Foundation Model for Spectral Remote Sensing Data,Xuyang Li
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,282387776,10.1101/2025.10.23.684227,2025,MetaboFM: A Foundation Model for Spatial Metabolomics,Efe Ozturk
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,286646622,10.1109/CIS69366.2025.11433883,2025,Neurofusion: A Task-Aware EEG Foundation Model with Adaptive Frequency and Spatial Self-Supervised Learning,Zhige Chen
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2412.02732,10.1109/TGRS.2025.3642610,2024,Prithvi-EO-2.0: A Versatile Multitemporal Foundation Model for Earth Observation Applications,Daniela Szwarcman
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,269349935,10.3390/rs16091493,2024,"Transferability of Machine Learning Models for Crop Classification in Remote Sensing Imagery Using a New Test Methodology: A Study on Phenological, Temporal, and Spatial Influences",H. Hoppe
F3-contexto-espacial-fm,semanticscholar,foundation model embeddings spatial transferability crop,2509.24302,,2025,LEAF: Language-EEG Aligned Foundation Model for Brain-Computer Interfaces,Muyun Jiang
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W2940726923,10.1016/j.isprsjprs.2019.04.015,2019,Deep learning in remote sensing applications: A meta-analysis and review,Lei Ma
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W3088162569,10.1109/jstars.2020.3026724,2020,Support Vector Machine Versus Random Forest for Remote Sensing Image Classification: A Meta-Analysis and Systematic Review,Mohammadreza Sheykhmousa
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W3022140654,10.1109/jstars.2020.3005403,2020,"Remote Sensing Image Scene Classification Meets Deep Learning: Challenges, Methods, Benchmarks, and Opportunities",Gong Cheng
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W3027225766,10.3390/rs12101662,2020,A Spatial-Temporal Attention-Based Method and a New Dataset for Remote Sensing Image Change Detection,Hao Chen
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4293526428,10.3390/app12178654,2022,A Review of Ensemble Learning Algorithms Used in Remote Sensing Applications,Yuzhen Zhang
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W3079760979,10.1016/j.compag.2020.105709,2020,Crop yield prediction using machine learning: A systematic literature review,Thomas van Klompenburg
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4224308360,10.3390/rs14091990,2022,A Systematic Literature Review on Crop Yield Prediction with Deep Learning and Remote Sensing,Priyanga Muruganantham
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W2923136550,10.1109/mgrs.2018.2890023,2019,Multisource and Multitemporal Data Fusion in Remote Sensing: A Comprehensive Review of the State of the Art,Pedram Ghamisi
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4286493286,10.1080/10095020.2022.2100287,2022,"Mapping of cropland, cropping patterns and crop types by combining optical remote sensing images with decision tree classifier and random forest",Aqil Tariq
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4390344985,10.3390/rs16010127,2023,A Parallel-Cascaded Ensemble of Machine Learning Models for Crop Type Classification in Google Earth Engine Using Multi-Temporal Sentinel-1/2 and Landsat-8/9 Remote Sensing Data,Esmaeil Abdali
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W3011560410,10.1093/nsr/nwaa047,2020,Deep-learning-based information mining from ocean remote-sensing imagery,Xiaofeng Li
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4213124617,10.3390/rs14040871,2022,Deep Learning-Based Change Detection in Remote Sensing Images: A Review,Ayesha Shafique
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4289522770,10.1155/2022/5880959,2022,Remote Sensing Image Classification: A Comprehensive Review and Applications,Maryam Mehmood
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4214538766,10.1016/j.cj.2022.01.009,2022,Evaluation of a deep-learning model for multispectral remote sensing of land use and crop classification,Lijun Wang
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4200503226,10.1016/j.rse.2021.112831,2021,"Mapping of crop types and crop sequences with combined time series of Sentinel-1, Sentinel-2 and Landsat 8 data for Germany",Lukas Blickensdörfer
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4224226825,10.1016/j.compag.2022.106844,2022,"A comprehensive review of remote sensing platforms, sensors, and applications in nut crops",Hamid Jafarbiglu
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4285489743,10.1016/j.compeleceng.2022.108128,2022,Artificial intelligence - enabled soft sensor and internet of things for sustainable agriculture using ensemble deep learning architecture,Wongchai Anupong
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W3048168082,10.1038/s41598-020-80820-1,2021,Coupling machine learning and crop modeling improves crop yield prediction in the US Corn Belt,Mohsen Shahhosseini
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4379229760,10.1186/s40537-023-00772-x,2023,Review of deep learning methods for remote sensing satellite images classification: experimental survey and comparative analysis,Adekanmi Adeyinka Adegun
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W2991004173,10.3389/fpls.2019.01750,2020,A CNN-RNN Framework for Crop Yield Prediction,Saeed Khaki
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W3140854437,10.1186/s40537-021-00444-8,2021,"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions",Laith Alzubaidi
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W3201342863,10.1109/jstars.2021.3134785,2021,On Circuit-Based Hybrid Quantum Neural Networks for Remote Sensing Imagery Classification,Alessandro Sebastianelli
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W3091948139,10.1016/j.gsf.2020.09.006,2020,Flood susceptibility modelling using advanced ensemble machine learning models,Abu Reza Md. Towfiqul Islam
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W4206736393,10.3390/s22030757,2022,Current State of Hyperspectral Remote Sensing for Early Plant Disease Detection: A Review,Anton Terentev
F1-stacking-arbitraje,openalex,stacking ensemble crop type classification remote sensing,W3000080835,10.1016/j.rse.2019.111626,2020,Monitoring biodiversity in the Anthropocene using remote sensing in species distribution models,Christophe F. Randin
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4296079469,10.1109/access.2022.3207287,2022,"A Survey of Ensemble Learning: Concepts, Algorithms, Applications, and Prospects",Ibomoiye Domor Mienye
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W3102100346,10.1016/j.inffus.2021.05.008,2021,"A review of uncertainty quantification in deep learning: Techniques, applications and challenges",Moloud Abdar
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W3088162569,10.1109/jstars.2020.3026724,2020,Support Vector Machine Versus Random Forest for Remote Sensing Image Classification: A Meta-Analysis and Systematic Review,Mohammadreza Sheykhmousa
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4293526428,10.3390/app12178654,2022,A Review of Ensemble Learning Algorithms Used in Remote Sensing Applications,Yuzhen Zhang
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4210916416,10.1145/3485128,2022,Tackling Climate Change with Machine Learning,Lynn H. Kaack
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W3072681182,10.1021/acs.est.0c01791,2020,An Ensemble Learning Approach for Estimating High Spatiotemporal Resolution of Ground-Level Ozone in the Contiguous United States,Weeberb J. Réquia
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4392199044,10.1145/3649448,2024,Deep Learning for Time Series Classification and Extrinsic Regression: A Current Survey,Navid Mohammadi Foumani
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W3028081629,10.3390/rs12101683,2020,"Coastal Wetland Mapping Using Ensemble Learning Algorithms: A Comparative Study of Bagging, Boosting and Stacking Techniques",Li Wen
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4387092456,10.1109/access.2023.3320042,2023,Ensemble Multifeatured Deep Learning Models and Applications: A Survey,Satheesh Abimannan
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4403343918,10.1007/s10462-024-10984-z,2024,A comprehensive investigation of multimodal deep learning fusion strategies for breast cancer classification,Fatima-Zahrae Nakach
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4283313119,10.1145/3545574,2022,The Role of Machine Learning in Cybersecurity,Giovanni Apruzzese
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W3099912322,10.1109/access.2020.3038676,2020,Active Learning Based Federated Learning for Waste and Natural Disaster Image Classification,L. Jubair Ahmed
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4391725565,10.17485/ijst/v16i48.2850,2023,Streamlit Application for Advanced Ensemble Learning Methods in Crop Recommendation Systems – A Review and Implementation,Yaganteeswarudu Akkem
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W3047278178,10.1109/jstars.2020.3014143,2020,Potential of Ensemble Learning to Improve Tree-Based Classifiers for Landslide Susceptibility Mapping,Jiahui Song
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W2943160824,10.3390/w11050910,2019,A Brief Review of Random Forests for Water Scientists and Practitioners and Their Recent History in Water Resources,Hristos Tyralis
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4401124905,10.3390/rs16152778,2024,Ensemble Machine Learning on the Fusion of Sentinel Time Series Imagery with High-Resolution Orthoimagery for Improved Land Use/Land Cover Mapping,Mukti Ram Subedi
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W3200723554,10.1145/3467470,2021,Meta-Learning to Improve Unsupervised Intrusion Detection in Cyber-Physical Systems,Tommaso Zoppi
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W3107569396,,2020,70 years of machine learning in geoscience in review,Jesper Dramsch
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4206484811,10.1109/access.2021.3140175,2022,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",Sangmin Park
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4378802379,10.1109/jas.2023.123537,2023,Machine Learning With Data Assimilation and Uncertainty Quantification for Dynamical Systems: A Review,Sibo Cheng
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W2950398529,10.1145/3485128,2022,Tackling Climate Change with Machine Learning,David Rolnick
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4319296823,10.3390/math11040820,2023,"A Survey on Active Learning: State-of-the-Art, Practical Challenges and Research Directions",Alaa Tharwat
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W2948545016,10.5194/isprs-archives-xlii-2-w13-1841-2019,2019,"LAND USE AND LAND COVER CLASSIFICATION USING HYPERSPECTRAL IMAGERY: EVALUATING THE PERFORMANCE OF SPECTRAL ANGLE MAPPER, SUPPORT VECTOR MACHINE AND RANDOM FOREST",Luiz E. Christovam
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4285195707,10.1109/access.2022.3180844,2022,dropCyclic: Snapshot Ensemble Convolutional Neural Network Based on a New Learning Rate Schedule for Land Use Classification,Sangdaow Noppitak
F1-stacking-arbitraje,openalex,heterogeneous ensemble learning land cover classification meta-learner,W4386119820,10.3390/rs15174159,2023,A Novel Heterogeneous Ensemble Framework Based on Machine Learning Models for Shallow Landslide Susceptibility Mapping,Haozhe Tang
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W2940726923,10.1016/j.isprsjprs.2019.04.015,2019,Deep learning in remote sensing applications: A meta-analysis and review,Lei Ma
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W3079760979,10.1016/j.compag.2020.105709,2020,Crop yield prediction using machine learning: A systematic literature review,Thomas van Klompenburg
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W3022140654,10.1109/jstars.2020.3005403,2020,"Remote Sensing Image Scene Classification Meets Deep Learning: Challenges, Methods, Benchmarks, and Opportunities",Gong Cheng
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W2946072066,10.1016/j.rse.2019.03.039,2019,A cloud detection algorithm for satellite imagery based on deep learning,Jacob Høxbroe Jeppesen
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W4200503226,10.1016/j.rse.2021.112831,2021,"Mapping of crop types and crop sequences with combined time series of Sentinel-1, Sentinel-2 and Landsat 8 data for Germany",Lukas Blickensdörfer
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W2910096450,10.1007/s10462-018-09679-z,2019,Machine Learning and Deep Learning frameworks and libraries for large-scale data mining: a survey,Giang Nguyen
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W4366091323,10.1007/s10462-023-10466-8,2023,"Deep learning modelling techniques: current progress, applications, advantages, and challenges",Shams Forruque Ahmed
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W4224308360,10.3390/rs14091990,2022,A Systematic Literature Review on Crop Yield Prediction with Deep Learning and Remote Sensing,Priyanga Muruganantham
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W4394591746,10.1109/mgrs.2024.3393010,2024,Deep Learning for Satellite Image Time-Series Analysis: A review,Lynn Miller
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W4213124617,10.3390/rs14040871,2022,Deep Learning-Based Change Detection in Remote Sensing Images: A Review,Ayesha Shafique
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W2920767026,10.1016/j.rse.2019.02.013,2019,Historical background and current developments for mapping burned area from satellite Earth observation,Emilio Chuvieco
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W4293526428,10.3390/app12178654,2022,A Review of Ensemble Learning Algorithms Used in Remote Sensing Applications,Yuzhen Zhang
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W3091948139,10.1016/j.gsf.2020.09.006,2020,Flood susceptibility modelling using advanced ensemble machine learning models,Abu Reza Md. Towfiqul Islam
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W4365504037,10.1186/s40537-023-00727-2,2023,"A survey on deep learning tools dealing with data scarcity: definitions, challenges, solutions, tips, and applications",Laith Alzubaidi
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W3120697286,10.1109/access.2020.3048415,2020,Machine Learning Applications for Precision Agriculture: A Comprehensive Review,Abhinav Sharma
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W2993464084,10.1109/access.2019.2956508,2019,A Survey on the New Generation of Deep Learning in Image Processing,Licheng Jiao
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W3129544296,10.3390/rs13040808,2021,Deep Learning-Based Semantic Segmentation of Urban Features in Satellite Images: A Review and Meta-Analysis,Bipul Neupane
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W4392199044,10.1145/3649448,2024,Deep Learning for Time Series Classification and Extrinsic Regression: A Current Survey,Navid Mohammadi Foumani
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W3165319944,10.3390/s21113758,2021,Machine Learning in Agriculture: A Comprehensive Updated Review,Lefteris Benos
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W3003452346,10.1038/s41598-019-56967-x,2020,Near Real-Time Wildfire Progression Monitoring with Sentinel-1 SAR Time Series and Deep Learning,Yifang Ban
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W3047335959,10.2166/wst.2020.369,2020,A comprehensive review of deep learning applications in hydrology and water resources,Muhammed Sit
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W4382630561,10.3390/rs15092450,2023,Recent Advances in Crop Disease Detection Using UAV and Deep Learning Techniques,Tej Bahadur Shahi
F1-stacking-arbitraje,openalex,ensemble crop mapping satellite image time series deep learning,W3215900571,10.3390/rs13234822,2021,Application of Deep Learning Architectures for Satellite Image Time Series Prediction: A Review,Waytehad Rose Moskolaï
